game_name,sys_req,release_date,name,Ncomments,Ndiscomfort,Pdiscomfort,OS,Processor,Memory,Graphics,DirectX,Storage,Network,no fields,memory_num,OS_num,storage_num,graphics_simp,graphics_num,processor_simp,processor_num
Call of Duty®: Vanguard,Requires a 64-bit processor and operating systemOS: Window 10 64 Bit (latest update) or Windows 11 64 Bit (latest update)Processor: Intel Core i5-2500k or AMD Ryzen 5 1600XMemory: 12 GB RAMGraphics: NVIDIA GeForce GTX 1060 or AMD Radeon RX 580DirectX: Version 12Network: Broadband Internet connectionStorage: 177 GB available space,8-Mar-23,callofdutyvanguard,330,4,0.012121212, Window 10 64 Bit (latest update) or Windows 11 64 Bit (latest update), Intel Core i5-2500k or AMD Ryzen 5 1600X, 12 GB RAM, NVIDIA GeForce GTX 1060 or AMD Radeon RX 580, Version 12, 177 GB available space, Broadband Internet connection,,12,7,177,GTX 1060 ,56.1,I5-2500K,55.2
Call of Duty®: Black Ops Cold War,Requires a 64-bit processor and operating systemOS: Windows® 10 64-bit (latest update)Processor: Intel® Core™ i5-2500K or AMD Ryzen™ R5 1600X ProcessorMemory: 12 GB RAMGraphics: NVIDIA® GeForce® GTX 970 / NVIDIA® GeForce® GTX 1660 Super or AMD Radeon™ R9 390 / AMD Radeon™ RX 580DirectX: Version 12Network: Broadband Internet connectionStorage: 175 GB available space,8-Mar-23,callofdutyblackopscoldwar,395,8,0.020253165, Windows® 10 64-bit (latest update), Intel® Core™ i5-2500K or AMD Ryzen™ R5 1600X Processor, 12 GB RAM, NVIDIA® GeForce® GTX 970 / NVIDIA® GeForce® GTX 1660 Super or AMD Radeon™ R9 390 / AMD Radeon™ RX 580, Version 12, 175 GB available space, Broadband Internet connection,,12,6,175,GTX 970 ,49.1,I5-2500K,55.2
Call of Duty®: Modern Warfare®,Requires a 64-bit processor and operating systemOS: Windows® 10 64-bit latest updateProcessor: Intel® Core™ i5-2500K or AMD Ryzen™ R5 1600X ProcessorMemory: 12 GB RAMGraphics: NVIDIA® GeForce® GTX 970 / NVIDIA® GeForce® GTX 1660 or AMD Radeon™ R9 390 / AMD Radeon™ RX 580DirectX: Version 12Network: Broadband Internet connectionStorage: 175 GB available space,8-Mar-23,callofdutymodernwarfare,1696,14,0.008254717, Windows® 10 64-bit latest update, Intel® Core™ i5-2500K or AMD Ryzen™ R5 1600X Processor, 12 GB RAM, NVIDIA® GeForce® GTX 970 / NVIDIA® GeForce® GTX 1660 or AMD Radeon™ R9 390 / AMD Radeon™ RX 580, Version 12, 175 GB available space, Broadband Internet connection,,12,6,175,GTX 970 ,49.1,I5-2500K,55.2
Assassin's Creed Valhalla,Requires a 64-bit processor and operating systemOS: Windows 10 (versions 64 bits uniquement)Processor: AMD Ryzen 5 1600 3.2 GHz / Intel Core i7-4790 3.6 GHzMemory: 8 GB RAMGraphics: AMD R9 380 /NVIDIA GeForce GTX 960DirectX: Version 12Storage: 160 GB available space,6-Dec-22,assassinscreedvalhalla,1760,27,0.015340909, Windows 10 (versions 64 bits uniquement), AMD Ryzen 5 1600 3.2 GHz / Intel Core i7-4790 3.6 GHz, 8 GB RAM, AMD R9 380 /NVIDIA GeForce GTX 960, Version 12, 160 GB available space,,,8,6,160,GTX 960,32.9,I7-4790,71.4
Red Dead Redemption 2,Requires a 64-bit processor and operating systemOS: Windows 10 - April 2018 Update (v1803)Processor: Intel® Core™ i7-4770K / AMD Ryzen 5 1500XMemory: 12 GB RAMGraphics: Nvidia GeForce GTX 1060 6GB / AMD Radeon RX 480 4GBNetwork: Broadband Internet connectionStorage: 150 GB available spaceSound Card: Direct X Compatible,5-Dec-19,reddeadredemption2,1943,9,0.004632012, Windows 10 - April 2018 Update (v1803), Intel® Core™ i7-4770K / AMD Ryzen 5 1500X, 12 GB RAM, Nvidia GeForce GTX 1060 6GB / AMD Radeon RX 480 4GB,, 150 GB available spaceSound Card: Direct X Compatible, Broadband Internet connection,,12,5,150,GTX 1060 ,56.1,I7-4770K,73.6
Race The Sun,"OS: Windows: XP, Vista, 7, 8Processor: Dual Core ProcessorMemory: 2 GB RAMGraphics: SM2.0 (or later) Graphics CardStorage: 150 MB available spaceVR Support: SteamVR or Oculus PC. Keyboard or gamepad required",9-Dec-13,racethesun,45,0,0," Windows: XP, Vista, 7, 8", Dual Core Processor, 2 GB RAM, SM2.0 (or later) Graphics Card,, 150 MB available spaceVR Support: SteamVR or Oculus PC. Keyboard or gamepad required,,,2,3,150,,2,DUAL,36.6
Poly Bridge,OS: Windows 7Processor: 1GHzMemory: 2 GB RAMGraphics: 512MbDirectX: Version 9.0Storage: 150 MB available space,12-Jul-16,polybridge,14,0,0, Windows 7, 1GHz, 2 GB RAM, 512Mb, Version 9.0, 150 MB available space,,,2,2,150,,2,,27.7
Risk of Rain,OS: Windows Vista / 7Processor: 2.5 GHzMemory: 1 GB RAMGraphics: Direct X9.0c Compatible CardDirectX: Version 9.0Storage: 130 MB available spaceAdditional Notes: Microsoft Xbox 360 Controller or Direct Input compatible controller,8-Nov-13,riskofrain,89,1,0.011235955, Windows Vista / 7, 2.5 GHz, 1 GB RAM, Direct X9.0c Compatible Card, Version 9.0, 130 MB available spaceAdditional Notes: Microsoft Xbox 360 Controller or Direct Input compatible controller,,,1,2,130,,2,,27.7
Journey To The Center Of The Earth,OS: windows XPProcessor: 2 GHZMemory: 1 GB RAMDirectX: Version 9.0cStorage: 128 MB available space,23-Sep-15,journeytothecenteroftheearth,10,0,0, windows XP, 2 GHZ, 1 GB RAM,, Version 9.0c, 128 MB available space,,,1,1,128,,2,,27.7
UNCHARTED™: Legacy of Thieves Collection,"OS: Windows 10 64-bitProcessor: Intel i7-4770, AMD Ryzen 5 1500XMemory: 16 GB RAMGraphics: NVIDIA GTX 1060 (6 GB), AMD RX 570 (4 GB)DirectX: Version 12Storage: 126 GB available space",19-Oct-22,unchartedlegacyofthievescollection,239,0,0, Windows 10 64-bit," Intel i7-4770, AMD Ryzen 5 1500X", 16 GB RAM," NVIDIA GTX 1060 (6 GB), AMD RX 570 (4 GB)", Version 12, 126 GB available space,,,16,6,126,GTX 1060 ,56.1,I7-4770,70.5
Call of Duty®: Modern Warfare® II,Requires a 64-bit processor and operating systemOS: Windows® 10 64 Bit (latest update) or Windows® 11 64 Bit (latest update)Processor: Intel® Core™ i5-6600K / Core™ i7-4770 or AMD Ryzen™ 5 1400Memory: 12 GB RAMGraphics: NVIDIA® GeForce® GTX 1060 or AMD Radeon™ RX 580 - DirectX 12.0 compatible systemDirectX: Version 12Network: Broadband Internet connectionStorage: 125 GB available space,27-Oct-22,callofdutymodernwarfareii,166,1,0.006024096, Windows® 10 64 Bit (latest update) or Windows® 11 64 Bit (latest update), Intel® Core™ i5-6600K / Core™ i7-4770 or AMD Ryzen™ 5 1400, 12 GB RAM, NVIDIA® GeForce® GTX 1060 or AMD Radeon™ RX 580 - DirectX 12.0 compatible system, Version 12, 125 GB available space, Broadband Internet connection,,12,7,125,GTX 1060 ,56.1,I5-6600K,72.4
Total War: WARHAMMER III,OS: Windows 10 64-bitProcessor: Intel i5/Ryzen 5 seriesMemory: 8 GB RAMGraphics: Nvidia GeForce GTX 1660 Ti/AMD RX 5600-XTDirectX: Version 11Storage: 120 GB available spaceAdditional Notes: 8GB Memory if using integrated GPU.,16-Feb-22,totalwarwarhammeriii,144,1,0.006944444, Windows 10 64-bit, Intel i5/Ryzen 5 series, 8 GB RAM, Nvidia GeForce GTX 1660 Ti/AMD RX 5600-XT, Version 11, 120 GB available spaceAdditional Notes: 8GB Memory if using integrated GPU.,,,8,6,120,GTX 1660 TI,76,,27.7
Mass Effect™ Legendary Edition,"Requires a 64-bit processor and operating systemOS: 64-bit Windows 10Processor: Intel Core i7-7700 or AMD Ryzen 7 3700XMemory: 16 GB RAMGraphics: GPU: NVIDIA GTX 1070 / RTX 200, Radeon Vega 56, GPU RAM: 4 GB Video MemoryDirectX: Version 11Storage: 120 GB available space",14-May-21,masseffectlegendaryedition,202,1,0.004950495, 64-bit Windows 10, Intel Core i7-7700 or AMD Ryzen 7 3700X, 16 GB RAM," GPU: NVIDIA GTX 1070 / RTX 200, Radeon Vega 56, GPU RAM: 4 GB Video Memory", Version 11, 120 GB available space,,,16,6,120,GTX 1070 ,79.7,I7-7700,76.2
Watch Dogs®: Legion,"Requires a 64-bit processor and operating systemOS: Windows 10 (64-bit versions)Processor: Intel Core i7-4790 or AMD Ryzen 5 1600Memory: 8 GB RAMGraphics: NVIDIA GeForce GTX 1060, NVIDIA GeForce GTX 1660 S, or AMD Radeon RX 480DirectX: Version 11Network: Broadband Internet connectionStorage: 115 GB available space",26-Jan-23,watchdogslegion,747,1,0.001338688, Windows 10 (64-bit versions), Intel Core i7-4790 or AMD Ryzen 5 1600, 8 GB RAM," NVIDIA GeForce GTX 1060, NVIDIA GeForce GTX 1660 S, or AMD Radeon RX 480", Version 11, 115 GB available space, Broadband Internet connection,,8,6,115,GTX 1060,56.1,I7-4790,71.4
Conan Exiles,Requires a 64-bit processor and operating systemOS: Windows 10 64 bitProcessor: Intel Quad Core i7 3770K or AMD Ryzen 5 1600XMemory: 8 GB RAMGraphics: nVidia GeForce GTX 780 Ti/970 (High settings) and 1070 (Ultra settings) or AMD R9 290/AMD RX480 (High settings)DirectX: Version 11Network: Broadband Internet connectionStorage: 115 GB available space,8-May-18,conanexiles,68,0,0, Windows 10 64 bit, Intel Quad Core i7 3770K or AMD Ryzen 5 1600X, 8 GB RAM, nVidia GeForce GTX 780 Ti/970 (High settings) and 1070 (Ultra settings) or AMD R9 290/AMD RX480 (High settings), Version 11, 115 GB available space, Broadband Internet connection,,8,6,115,GTX 780 TI,52.9,I7-3770K,72.4
Forza Horizon 5,Requires a 64-bit processor and operating systemOS: Windows 10 version 15063.0 or higherProcessor: Intel i5-8400 or AMD Ryzen 5 1500XMemory: 16 GB RAMGraphics: NVidia GTX 1070 OR AMD RX 590DirectX: Version 12Network: Broadband Internet connectionStorage: 110 GB available space,8-Nov-21,forzahorizon5,386,2,0.005181347, Windows 10 version 15063.0 or higher, Intel i5-8400 or AMD Ryzen 5 1500X, 16 GB RAM, NVidia GTX 1070 OR AMD RX 590, Version 12, 110 GB available space, Broadband Internet connection,,16,5,110,GTX 1070 ,79.7,I5-8400,81.8
Warhammer: Vermintide 2,Requires a 64-bit processor and operating systemOS: 64-bit Windows 10Processor: Intel Core i7- 3770 @ 3.5 GHz or AMD FX-8350 @ 4 GHzMemory: 8 GB RAMGraphics: NVIDIA GeForce GTX 970/1060 or ATI Radeon R9 seriesDirectX: Version 12Network: Broadband Internet connectionStorage: 105 GB available space,8-Mar-18,warhammervermintide2,107,2,0.018691589, 64-bit Windows 10, Intel Core i7- 3770 @ 3.5 GHz or AMD FX-8350 @ 4 GHz, 8 GB RAM, NVIDIA GeForce GTX 970/1060 or ATI Radeon R9 series, Version 12, 105 GB available space, Broadband Internet connection,,8,6,105,GTX 970,49.1,I7-3770,69
Destiny 2,Requires a 64-bit processor and operating systemOS: System Windows® 7 / Windows® 8.1 / Windows® 10 64-bit (latest Service Pack)Processor: Processor Intel® Core™ i5 2400 3.4 GHz or i5 7400 3.5 GHz / AMD Ryzen R5 1600X 3.6 GHzMemory: 8 GB RAMGraphics: NVIDIA® GeForce® GTX 970 4GB or GTX 1060 6GB / AMD R9 390 8GB Memory 8 GB RAMNetwork: Broadband Internet connectionStorage: 105 GB available spaceAdditional Notes:,1-Oct-19,destiny2,559,4,0.007155635, System Windows® 7 / Windows® 8.1 / Windows® 10 64-bit (latest Service Pack), Processor Intel® Core™ i5 2400 3.4 GHz or i5 7400 3.5 GHz / AMD Ryzen R5 1600X 3.6 GHz, 8 GB RAM, NVIDIA® GeForce® GTX 970 4GB or GTX 1060 6GB / AMD R9 390 8GB Memory 8 GB RAM,, 105 GB available spaceAdditional Notes:, Broadband Internet connection,,8,6,105,GTX 970 ,49.1,I5-2400,60.6
DiRT Rally 2.0,"Requires a 64-bit processor and operating systemOS: 64bit versions of Windows® 7, Windows® 8, Windows® 10Processor: AMD Ryzen 5 2600X or Intel Core i5 8600KMemory: 8 GB RAMGraphics: AMD RX Vega 56 or NVIDIA GTX 1070DirectX: Version 11Network: Broadband Internet connectionStorage: 100 GB available spaceSound Card: DirectX® Compatible soundcard",25-Feb-19,dirtrally20,61,5,0.081967213," 64bit versions of Windows® 7, Windows® 8, Windows® 10", AMD Ryzen 5 2600X or Intel Core i5 8600K, 8 GB RAM, AMD RX Vega 56 or NVIDIA GTX 1070, Version 11, 100 GB available spaceSound Card: DirectX® Compatible soundcard, Broadband Internet connection,,8,6,100,GTX 1070,79.7,I5-8600K,90.7
Killing Floor 2,Requires a 64-bit processor and operating systemOS: Windows 10 64-bitProcessor: Core 2 Quad Q9550 2.83GHz or Phenom II X4 955Memory: 4 GB RAMGraphics: GeForce GTX 560 or Radeon HD 6950DirectX: Version 11Network: Broadband Internet connectionStorage: 100 GB available spaceAdditional Notes: NVIDIA ® FleX features require a GeForce ® GTX™ 770  or higher (GeForce ® GTX™ 980 recommended),18-Nov-16,killingfloor2,60,1,0.016666667, Windows 10 64-bit, Core 2 Quad Q9550 2.83GHz or Phenom II X4 955, 4 GB RAM, GeForce GTX 560 or Radeon HD 6950, Version 11, 100 GB available spaceAdditional Notes: NVIDIA ® FleX features require a GeForce ® GTX™ 770  or higher (GeForce ® GTX™ 980 recommended), Broadband Internet connection,,4,6,100,GTX 560 ,13.8,QUAD,45.5
FINAL FANTASY VII REMAKE INTERGRADE,Requires a 64-bit processor and operating systemOS: Windows® 10 64-bit (ver. 2004 or later)Processor: AMD Ryzen™ 3 3100 / Intel® Core™ i7-3770Memory: 12 GB RAMGraphics: AMD Radeon™ RX 5700 / NVIDIA® GeForce® GTX 1080 / 8GB VRAM requiredDirectX: Version 12Storage: 100 GB available spaceAdditional Notes: Assuming a Resolution of 2560 x 1440 (This title supports max resolution of 3840 x 2160),17-Jun-22,finalfantasyviiremakeintergrade,217,3,0.013824885, Windows® 10 64-bit (ver. 2004 or later), AMD Ryzen™ 3 3100 / Intel® Core™ i7-3770, 12 GB RAM, AMD Radeon™ RX 5700 / NVIDIA® GeForce® GTX 1080 / 8GB VRAM required, Version 12, 100 GB available spaceAdditional Notes: Assuming a Resolution of 2560 x 1440 (This title supports max resolution of 3840 x 2160),,,12,6,100,GTX 1080 ,102,I7-3770,69
Call of Duty®: Black Ops III,OS: Windows 7 64-Bit / Windows 8 64-Bit / Windows 8.1 64-BitProcessor: Intel® Core™ i3-530 @ 2.93 GHz / AMD Phenom™ II X4 810 @ 2.60 GHzMemory: 6 GB RAMGraphics: NVIDIA® GeForce® GTX 470 @ 1GB / ATI® Radeon™ HD 6970 @ 1GBDirectX: Version 11Network: Broadband Internet connectionStorage: 100 GB available spaceSound Card: DirectX Compatible,5-Nov-15,callofdutyblackopsiii,238,3,0.012605042, Windows 7 64-Bit / Windows 8 64-Bit / Windows 8.1 64-Bit, Intel® Core™ i3-530 @ 2.93 GHz / AMD Phenom™ II X4 810 @ 2.60 GHz, 6 GB RAM, NVIDIA® GeForce® GTX 470 @ 1GB / ATI® Radeon™ HD 6970 @ 1GB, Version 11, 100 GB available spaceSound Card: DirectX Compatible, Broadband Internet connection,,6,4,100,GTX 470 ,16.2,I3-530,45.6
OUTRIDERS,"Requires a 64-bit processor and operating systemOS: Windows 10Processor: Intel i7-7700K / AMD Ryzen 5 2600XMemory: 16 GB RAMGraphics: Nvidia GeForce GTX 1070, 8 GB / Radeon RX Vega 56, 8 GBDirectX: Version 11Network: Broadband Internet connectionStorage: 100 GB available spaceAdditional Notes: 1080p / 60fps",1-Apr-21,outriders,258,3,0.011627907, Windows 10, Intel i7-7700K / AMD Ryzen 5 2600X, 16 GB RAM," Nvidia GeForce GTX 1070, 8 GB / Radeon RX Vega 56, 8 GB", Version 11, 100 GB available spaceAdditional Notes: 1080p / 60fps, Broadband Internet connection,,16,5,100,GTX 1070,79.7,I7-7700K,84
FINAL FANTASY XV WINDOWS EDITION,"Requires a 64-bit processor and operating systemOS: Windows® 7 SP1/ Windows® 8.1 / Windows® 10 64-bitProcessor: Intel® Core™ i7-3770（3.4GHz and above）/ AMD FX™-8350（4.0 GHz and above）Memory: 16 GB RAMGraphics: NVIDIA® GeForce® GTX 1060 6 GB VRAM / Radeon™ RX 480DirectX: Version 11Storage: 100 GB available spaceSound Card: DirectSound® compatible sound card, Windows Sonic and Dolby Atmos supportAdditional Notes: 1080p 30fps",6-Mar-18,finalfantasyxvwindowsedition,201,2,0.009950249, Windows® 7 SP1/ Windows® 8.1 / Windows® 10 64-bit, Intel® Core™ i7-3770（3.4GHz and above）/ AMD FX™-8350（4.0 GHz and above）, 16 GB RAM, NVIDIA® GeForce® GTX 1060 6 GB VRAM / Radeon™ RX 480, Version 11," 100 GB available spaceSound Card: DirectSound® compatible sound card, Windows Sonic and Dolby Atmos supportAdditional Notes: 1080p 30fps",,,16,6,100,GTX 1060 ,56.1,I7-3770,69
Battlefield™ 2042,"Requires a 64-bit processor and operating systemOS: 64-bit Windows 10Processor: AMD Ryzen 7 2700X, Intel Core i7 4790Memory: 16 GB RAMGraphics: AMD Radeon RX 6600 XT, Nvidia GeForce RTX 3060DirectX: Version 12Network: Broadband Internet connectionStorage: 100 GB available space",19-Nov-21,battlefield2042,2737,15,0.005480453, 64-bit Windows 10," AMD Ryzen 7 2700X, Intel Core i7 4790", 16 GB RAM," AMD Radeon RX 6600 XT, Nvidia GeForce RTX 3060", Version 12, 100 GB available space, Broadband Internet connection,,16,6,100,RTX 3060,100,I7-4790,71.4
Horizon Zero Dawn™ Complete Edition,Requires a 64-bit processor and operating systemOS: Windows 10 64-bitsProcessor: Intel Core i7-4770K@3.5GHz or Ryzen 5 1500X@3.5GHzMemory: 16 GB RAMGraphics: Nvidia GeForce GTX 1060 (6 GB) or AMD Radeon RX 580 (8GB)DirectX: Version 12Storage: 100 GB available space,7-Aug-20,horizonzerodawncompleteedition,381,2,0.005249344, Windows 10 64-bits, Intel Core i7-4770K@3.5GHz or Ryzen 5 1500X@3.5GHz, 16 GB RAM, Nvidia GeForce GTX 1060 (6 GB) or AMD Radeon RX 580 (8GB), Version 12, 100 GB available space,,,16,6,100,GTX 1060 ,56.1,I7-4770K,73.6
Forza Horizon 4,Requires a 64-bit processor and operating systemOS: Windows 10 version 15063.0 or higherProcessor: Intel i7-3820 @ 3.6GhzMemory: 12 GB RAMGraphics: NVidia GTX 970 OR NVidia GTX 1060 3GB OR AMD R9 290x OR AMD RX 470DirectX: Version 12Network: Broadband Internet connectionStorage: 100 GB available space,9-Mar-21,forzahorizon4,251,1,0.003984064, Windows 10 version 15063.0 or higher, Intel i7-3820 @ 3.6Ghz, 12 GB RAM, NVidia GTX 970 OR NVidia GTX 1060 3GB OR AMD R9 290x OR AMD RX 470, Version 12, 100 GB available space, Broadband Internet connection,,12,5,100,GTX 970 ,49.1,I7-3820,69.5
GRID,Requires a 64-bit processor and operating systemOS: 64 bit Version of Windows 10Processor: Intel i5 8600k / AMD Ryzen 5 2600xMemory: 16 GB RAMGraphics: Nvidia GTX 1080 / RX590DirectX: Version 12Network: Broadband Internet connectionStorage: 100 GB available spaceSound Card: DirectX Compatible SoundcardAdditional Notes: Requires a 64-bit processor and operating system,10-Oct-19,grid,42,0,0, 64 bit Version of Windows 10, Intel i5 8600k / AMD Ryzen 5 2600x, 16 GB RAM, Nvidia GTX 1080 / RX590, Version 12, 100 GB available spaceSound Card: DirectX Compatible SoundcardAdditional Notes: Requires a 64-bit processor and operating system, Broadband Internet connection,,16,6,100,GTX 1080 ,102,I5-8600K,90.7
War Thunder,"OS: Windows 10/11 (64bit)Processor: Intel Core i5 or Ryzen 5 3600 or betterMemory: 16 GB RAMGraphics: DirectX 11 level video card or higher and drivers: Nvidia GeForce 1060 and higher, Radeon RX 570 and higherDirectX: Version 12Network: Broadband Internet connectionStorage: 95 GB available space",15-Aug-13,warthunder,478,5,0.010460251, Windows 10/11 (64bit), Intel Core i5 or Ryzen 5 3600 or better, 16 GB RAM," DirectX 11 level video card or higher and drivers: Nvidia GeForce 1060 and higher, Radeon RX 570 and higher", Version 12, 95 GB available space, Broadband Internet connection,,16,7,95,GEFORCE 1060 ,56.1,,27.7
Kingdom Come: Deliverance,"Requires a 64-bit processor and operating systemOS: OS 64-bit Windows 7 or 64-bit Windows 8 (8.1) or Windows 10Processor: Intel CPU Core i7 3770 3,4 GHz, AMD CPU AMD FX-8350 4 GHzMemory: 16 GB RAMGraphics: Nvidia GPU GeForce GTX 1060, AMD GPU Radeon RX 580DirectX: Version 11Storage: 90 GB available spaceSound Card: Creative SOUND BLASTER ZxAdditional Notes: SSD recommended",13-Feb-18,kingdomcomedeliverance,770,15,0.019480519, OS 64-bit Windows 7 or 64-bit Windows 8 (8.1) or Windows 10," Intel CPU Core i7 3770 3,4 GHz, AMD CPU AMD FX-8350 4 GHz", 16 GB RAM," Nvidia GPU GeForce GTX 1060, AMD GPU Radeon RX 580", Version 11, 90 GB available spaceSound Card: Creative SOUND BLASTER ZxAdditional Notes: SSD recommended,,,16,6,90,GTX 1060,56.1,I7-3770,69
Atomic Heart,"Requires a 64-bit processor and operating systemOS: Windows 10 (20H1 version or newer, 64-bit versions)Processor: AMD Ryzen 5 2600X or Intel Core i7-7700KMemory: 16 GB RAMGraphics: 8 GB VRAM, AMD RX 6700 XT or NVIDIA GeForce RTX 2070DirectX: Version 12Storage: 90 GB available spaceAdditional Notes: SSD recommended, 60 FPS, 1920x1080 in ultra",20-Feb-23,atomicheart,935,4,0.004278075," Windows 10 (20H1 version or newer, 64-bit versions)", AMD Ryzen 5 2600X or Intel Core i7-7700K, 16 GB RAM," 8 GB VRAM, AMD RX 6700 XT or NVIDIA GeForce RTX 2070", Version 12," 90 GB available spaceAdditional Notes: SSD recommended, 60 FPS, 1920x1080 in ultra",,,16,6,90,RTX 2070,104,I7-7700K,84
FOR HONOR™,"OS: Windows 10, Windows 11 (64-bit versions only)Processor: Intel Core i5-7500 | AMD Ryzen 5 1400 or equivalentMemory: 8 GB RAMGraphics: NVIDIA GeForce GTX1080 with 3 GB VRAM or more | AMD Radeon RX580 with 4 GB VRAM or moreDirectX: Version 9.0cNetwork: Broadband Internet connectionStorage: 90 GB available spaceSound Card: DirectX 9.0c compatible sound cardAdditional Notes: Mouse and Keyboard supported. Game contains EasyAntiCheat anti-cheat technology and Denuvo anti-tamper technology.",13-Feb-17,forhonor,282,1,0.003546099," Windows 10, Windows 11 (64-bit versions only)", Intel Core i5-7500 | AMD Ryzen 5 1400 or equivalent, 8 GB RAM, NVIDIA GeForce GTX1080 with 3 GB VRAM or more | AMD Radeon RX580 with 4 GB VRAM or more, Version 9.0c, 90 GB available spaceSound Card: DirectX 9.0c compatible sound cardAdditional Notes: Mouse and Keyboard supported. Game contains EasyAntiCheat anti-cheat technology and Denuvo anti-tamper technology., Broadband Internet connection,,8,7,90,GTX 1080 ,102,I5-7500,66.8
The Elder Scrolls® Online,Requires a 64-bit processor and operating systemOS: Windows 7 64-bitProcessor: Intel® Core i5 2300 or AMD FX4350Memory: 8 GB RAMGraphics: Direct X 11.0 compliant video card with 2GB RAM (NVIDIA® GeForce® GTX 750 or AMD Radeon™ HD 7850) or higherDirectX: Version 11Network: Broadband Internet connectionStorage: 85 GB available spaceSound Card: DirectX compatible sound card,4-Apr-14,theelderscrollsonline,897,17,0.018952062, Windows 7 64-bit, Intel® Core i5 2300 or AMD FX4350, 8 GB RAM, Direct X 11.0 compliant video card with 2GB RAM (NVIDIA® GeForce® GTX 750 or AMD Radeon™ HD 7850) or higher, Version 11, 85 GB available spaceSound Card: DirectX compatible sound card, Broadband Internet connection,,8,3,85,GTX 750 ,14.7,I5-2300,64
Nioh 2 – The Complete Edition,"Requires a 64-bit processor and operating systemOS: Windows® 10 64bitProcessor: Intel Core i7 6700K or overMemory: 16 GB RAMGraphics: NVIDIA GeForce GTX 1660 SUPER or over, VRAM 6GB or overDirectX: Version 11Network: Broadband Internet connectionStorage: 85 GB available spaceSound Card: 16 bit stereo, 48KHz WAVE file can be played",5-Feb-21,nioh2thecompleteedition,109,1,0.009174312, Windows® 10 64bit, Intel Core i7 6700K or over, 16 GB RAM," NVIDIA GeForce GTX 1660 SUPER or over, VRAM 6GB or over", Version 11," 85 GB available spaceSound Card: 16 bit stereo, 48KHz WAVE file can be played", Broadband Internet connection,,16,6,85,GTX 1660 ,68.3,I7-6700K,80.8
Hogwarts Legacy,"Requires a 64-bit processor and operating systemOS: 64-bit Windows 10Processor: Intel Core i7-8700 (3.2Ghz) or AMD Ryzen 5 3600 (3.6 Ghz)Memory: 16 GB RAMGraphics: NVIDIA GeForce 1080 Ti or AMD Radeon RX 5700 XT or INTEL Arc A770DirectX: Version 12Storage: 85 GB available spaceAdditional Notes: SSD, 1080p/60 fps, High Quality Settings",10-Feb-23,hogwartslegacy,543,2,0.003683241, 64-bit Windows 10, Intel Core i7-8700 (3.2Ghz) or AMD Ryzen 5 3600 (3.6 Ghz), 16 GB RAM, NVIDIA GeForce 1080 Ti or AMD Radeon RX 5700 XT or INTEL Arc A770, Version 12," 85 GB available spaceAdditional Notes: SSD, 1080p/60 fps, High Quality Settings",,,16,6,85,GEFORCE 1080 TI,124,I7-8700,87
Sniper Elite 5,Requires a 64-bit processor and operating systemOS: Windows 10Processor: Intel CPU Core i5-8400 or equivalentMemory: 16 GB RAMGraphics: DirectX12 capable GPU with 6GB VRAMStorage: 85 GB available space,25-May-22,sniperelite5,36,0,0, Windows 10, Intel CPU Core i5-8400 or equivalent, 16 GB RAM, DirectX12 capable GPU with 6GB VRAM,, 85 GB available space,,,16,5,85,,2,I5-8400,81.8
PAYDAY 2,OS: Windows 10Processor: 2.3 GHz Intel Quad Core ProcessorMemory: 8 GB RAMGraphics: Nvidia & AMD (1GB VRAM)DirectX: Version 9.0cStorage: 83 GB available spaceVR Support: SteamVR. Standing or Room Scale,13-Aug-13,payday2,1680,5,0.00297619, Windows 10, 2.3 GHz Intel Quad Core Processor, 8 GB RAM, Nvidia & AMD (1GB VRAM), Version 9.0c, 83 GB available spaceVR Support: SteamVR. Standing or Room Scale,,,8,5,83,,2,QUAD,45.5
FINAL FANTASY XIV Online,"Requires a 64-bit processor and operating systemOS: Windows® 8.1 64 bit, Windows® 10 64 bit, Windows® 11 64 bitProcessor: Intel® Core™i7 3GHz or higherMemory: 8 GB RAMGraphics: 1920 x 1080: NVIDIA® Geforce® GTX970 or higher AMD Radeon™ RX 480 or higherDirectX: Version 11Network: Broadband Internet connectionStorage: 80 GB available spaceSound Card: A sound card which supports DirectSound®Additional Notes: System Requirements may be subject to change. If you are using a router, please set up your ports so that the below packets can pass through. [Ports that may be used] TCP：80, 443, 54992～54994, 55006～55007, 55021～55040",18-Feb-14,finalfantasyxivonline,178,10,0.056179775," Windows® 8.1 64 bit, Windows® 10 64 bit, Windows® 11 64 bit", Intel® Core™i7 3GHz or higher, 8 GB RAM, 1920 x 1080: NVIDIA® Geforce® GTX970 or higher AMD Radeon™ RX 480 or higher, Version 11," 80 GB available spaceSound Card: A sound card which supports DirectSound®Additional Notes: System Requirements may be subject to change. If you are using a router, please set up your ports so that the below packets can pass through. [Ports that may be used] TCP：80, 443, 54992～54994, 55006～55007, 55021～55040", Broadband Internet connection,,8,7,80,GTX 970 ,49.1,,27.7
